id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack,pass,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,possession,carry.progression,carry.endLocation.x,carry.endLocation.y,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper.id,shot.goalkeeper.name,shot.goalkeeper,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,infraction.opponent,location
2761771415,5678949,1H,0,1,00:00:01.911,4.911881,2761771417.0,,,,,,pass,"['back_pass', 'short_or_medium_pass']",50.0,50.0,7055,Eskilsminne,4-2-3-1,6849,Jönköpings Södra,4-2-3-1,338669,C. Ljungberg,AMF,True,-165.0,,23.0,566323.0,F. Velander,LCB,29.0,41.0,2761771415.0,6.8131735,[],5.0,0.0,50.0,50.0,74.0,100.0,7055.0,Eskilsminne,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771417,5678949,1H,0,4,00:00:04.761,7.761229,2761771423.0,,,,,,pass,"['forward_pass', 'long_pass', 'pass_to_final_third', 'progressive_pass']",29.0,41.0,7055,Eskilsminne,4-2-3-1,6849,Jönköpings Södra,4-2-3-1,566323,F. Velander,LCB,True,37.0,high,52.0,989683.0,H. Lindahl,RAMF,68.0,87.0,2761771415.0,6.8131735,[],5.0,1.0,50.0,50.0,74.0,100.0,7055.0,Eskilsminne,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771377,5678949,1H,0,7,00:00:07.472,10.472422,2761771378.0,,,,,,duel,['loose_ball_duel'],32.0,13.0,6849,Jönköpings Södra,4-2-3-1,7055,Eskilsminne,4-2-3-1,692804,O. Almström,LB,,,,,,,,,,2761771415.0,6.8131735,[],5.0,2.0,50.0,50.0,74.0,100.0,7055.0,Eskilsminne,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771423,5678949,1H,0,7,00:00:07.472,10.472422,2761771378.0,,,,,,duel,['loose_ball_duel'],68.0,87.0,7055,Eskilsminne,4-2-3-1,6849,Jönköpings Södra,4-2-3-1,989683,H. Lindahl,RAMF,,,,,,,,,,2761771415.0,6.8131735,[],5.0,3.0,50.0,50.0,74.0,100.0,7055.0,Eskilsminne,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771376,5678949,1H,0,9,00:00:09.977,12.977687,,,,,,,game_interruption,['ball_out'],26.0,0.0,6849,Jönköpings Södra,4-2-3-1,7055,Eskilsminne,4-2-3-1,0,,,,,,,,,,,,2761771415.0,6.8131735,[],5.0,4.0,50.0,50.0,74.0,100.0,7055.0,Eskilsminne,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771378,5678949,1H,0,16,00:00:16.769,19.769069,2761771379.0,,,,,,throw_in,[],29.0,0.0,6849,Jönköpings Södra,4-2-3-1,7055,Eskilsminne,4-2-3-1,692804,O. Almström,LB,True,16.0,,37.0,1060411.0,A. Kiwarkis,LAMF,63.0,15.0,2761771378.0,9.6329445,"['attack', 'throw_in']",7.0,0.0,29.0,0.0,73.0,8.0,6849.0,Jönköpings Södra,4-2-3-1,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771379,5678949,1H,0,17,00:00:17.284,20.284447,2761771380.0,,,,,,duel,['loose_ball_duel'],63.0,15.0,6849,Jönköpings Södra,4-2-3-1,7055,Eskilsminne,4-2-3-1,1060411,A. Kiwarkis,LAMF,,,,,,,,,,2761771378.0,9.6329445,"['attack', 'throw_in']",7.0,1.0,29.0,0.0,73.0,8.0,6849.0,Jönköpings Södra,4-2-3-1,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771426,5678949,1H,0,17,00:00:17.284,20.284447,2761771380.0,,,,,,duel,['loose_ball_duel'],37.0,85.0,7055,Eskilsminne,4-2-3-1,6849,Jönköpings Södra,4-2-3-1,813232,J. Albin,RB,,,,,,,,,,2761771378.0,9.6329445,"['attack', 'throw_in']",7.0,2.0,29.0,0.0,73.0,8.0,6849.0,Jönköpings Södra,4-2-3-1,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771380,5678949,1H,0,18,00:00:18.164,21.164368,2761771381.0,,,,,,pass,"['forward_pass', 'head_pass', 'pass_to_final_third', 'short_or_medium_pass']",66.0,11.0,6849,Jönköpings Södra,4-2-3-1,7055,Eskilsminne,4-2-3-1,1060411,A. Kiwarkis,LAMF,True,-16.0,high,7.0,615327.0,I. Ellbring,AMF,72.0,8.0,2761771378.0,9.6329445,"['attack', 'throw_in']",7.0,3.0,29.0,0.0,73.0,8.0,6849.0,Jönköpings Södra,4-2-3-1,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771381,5678949,1H,0,24,00:00:24.367,27.367836,2761771431.0,,,,,,duel,"['foul_suffered', 'ground_duel', 'offensive_duel']",72.0,8.0,6849,Jönköpings Södra,4-2-3-1,7055,Eskilsminne,4-2-3-1,615327,I. Ellbring,AMF,,,,,,,,,,2761771378.0,9.6329445,"['attack', 'throw_in']",7.0,4.0,29.0,0.0,73.0,8.0,6849.0,Jönköpings Södra,4-2-3-1,,,False,False,False,left,0.0,813232.0,J. Albin,RB,offensive_duel,True,True,,,False,,2761771429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771429,5678949,1H,0,24,00:00:24.367,27.367836,2761771431.0,,,,,,duel,"['defensive_duel', 'ground_duel']",28.0,92.0,7055,Eskilsminne,4-2-3-1,6849,Jönköpings Södra,4-2-3-1,813232,J. Albin,RB,,,,,,,,,,2761771378.0,9.6329445,"['attack', 'throw_in']",7.0,5.0,29.0,0.0,73.0,8.0,6849.0,Jönköpings Södra,4-2-3-1,,,False,False,False,left,0.0,615327.0,I. Ellbring,AMF,defensive_duel,,,False,False,False,,2761771381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771431,5678949,1H,0,28,00:00:28.436,31.436191,2761771381.0,,,,,,infraction,['foul'],27.0,92.0,7055,Eskilsminne,4-2-3-1,6849,Jönköpings Södra,4-2-3-1,813232,J. Albin,RB,,,,,,,,,,2761771378.0,9.6329445,"['attack', 'throw_in']",7.0,6.0,29.0,0.0,73.0,8.0,6849.0,Jönköpings Södra,4-2-3-1,,,False,False,False,left,0.0,,,,,,,,,,,,False,False,regular_foul,615327.0,I. Ellbring,AMF,,,,,,,,,,,,,,,,,,,,,,,
2761771382,5678949,1H,0,53,00:00:53.920,56.92024,2761771436.0,,,,,,free_kick,['free_kick_cross'],75.0,11.0,6849,Jönköpings Södra,4-2-3-1,7055,Eskilsminne,4-2-3-1,615327,I. Ellbring,AMF,False,67.0,high,25.0,813232.0,J. Albin,RB,85.0,44.0,2761771382.0,20.147479,"['set_piece_attack', 'free_kick', 'free_kick_cross']",10.0,0.0,75.0,11.0,36.0,28.0,6849.0,Jönköpings Södra,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771436,5678949,1H,0,55,00:00:55.586,58.586782,2761771383.0,,,,,,interception,"['head_pass', 'loss']",15.0,56.0,7055,Eskilsminne,4-2-3-1,6849,Jönköpings Södra,4-2-3-1,813232,J. Albin,RB,,,,,,,,,,2761771382.0,20.147479,"['set_piece_attack', 'free_kick', 'free_kick_cross']",10.0,1.0,75.0,11.0,36.0,28.0,6849.0,Jönköpings Södra,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771383,5678949,1H,1,0,00:01:00.343,63.343171,2761771384.0,,,,,,pass,"['back_pass', 'recovery', 'counterpressing_recovery', 'short_or_medium_pass']",52.0,44.0,6849,Jönköpings Södra,4-2-3-1,7055,Eskilsminne,4-2-3-1,558236,L. Eek,LCB,True,163.0,,31.0,899727.0,A. Eriksson,GK,24.0,57.0,2761771382.0,20.147479,"['set_piece_attack', 'free_kick', 'free_kick_cross']",10.0,2.0,75.0,11.0,36.0,28.0,6849.0,Jönköpings Södra,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2761771384,5678949,1H,1,6,00:01:06.966,69.966294,2761771443.0,,,,,,pass,"['forward_pass', 'long_pass', 'loss', 'pass_to_final_third']",24.0,57.0,6849,Jönköpings Södra,4-2-3-1,7055,Eskilsminne,4-2-3-1,899727,A. Eriksson,GK,False,-13.0,high,48.0,739449.0,L. Larsen,RCB,69.0,41.0,2761771382.0,20.147479,"['set_piece_attack', 'free_kick', 'free_kick_cross']",10.0,3.0,75.0,11.0,36.0,28.0,6849.0,Jönköpings Södra,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
