id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack,pass,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,carry.progression,carry.endLocation.x,carry.endLocation.y,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,location,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper.id,shot.goalkeeper.name,possession,shot.goalkeeper,infraction.opponent,start_x,start_y,end_x,end_y,side,event_time_seconds,tag_shot_assist,tag_assist,tag_loss,delivery_zone,possession_shot,possession_goal,possession_shot_count,possession_goal_count,possession_header_shot_count,possession_header_goal_count,possession_xg,first_shot_xg,first_shooter_name,first_shooter_id
3092553239,5819280,1H,25,37,00:25:37.930,1538.930812,3092553240.0,,,,,,corner,[],100.0,0.0,6786,Rosengård,4-4-2,6729,Åtvidaberg,5-4-1,904575,M. Ritari,LCMF,True,97.0,high,49.0,333740.0,A. Malaj,SS,94.0,72.0,3092553239.0,8.5187585,"['corner', 'set_piece_attack', 'attack']",8.0,0.0,100.0,0.0,74.0,53.0,6786.0,Rosengård,4-4-2,,,True,False,False,center,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,94.0,72.0,left,1537,False,False,False,back_post,True,False,1,0,0,0,0.013,0.013,E. Onotu,1187435.0
3092553750,5819280,2H,59,49,00:59:49.517,3775.517029,3092553751.0,,,,,,corner,[],100.0,0.0,6786,Rosengård,4-4-2,6729,Åtvidaberg,5-4-1,628861,L. Carlius,SS,True,141.0,low,19.0,904575.0,M. Ritari,LCMF,86.0,18.0,3092553750.0,3.245422,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,0.0,78.0,36.0,6786.0,Rosengård,4-4-2,,,True,False,False,left,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,86.0,18.0,left,3589,False,False,False,edge_recycle_zone,True,False,1,0,0,0,0.0015,0.0015,E. Onotu,1187435.0
3092553839,5819280,2H,68,49,01:08:49.973,4315.973663,3092553842.0,,,,,,corner,[],100.0,100.0,6786,Rosengård,4-4-2,6729,Åtvidaberg,5-4-1,628861,L. Carlius,SS,True,-109.0,high,46.0,638013.0,R. Bonde,LB,86.0,36.0,3092553839.0,3.9592805,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,100.0,71.0,26.0,6786.0,Rosengård,4-4-2,,,True,True,False,center,0.0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,86.0,36.0,right,4129,False,False,False,penalty_spot_zone,True,False,1,0,0,0,0.0098,0.0098,E. Onotu,1187435.0
3092554045,5819280,2H,79,46,01:19:46.593,4972.593267,3092555095.0,,,,,,corner,[],100.0,100.0,6786,Rosengård,4-4-2,6729,Åtvidaberg,5-3-2,628861,L. Carlius,SS,True,-98.0,high,36.0,0.0,,,95.0,48.0,3092554045.0,1.138668,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,100.0,90.0,48.0,6786.0,Rosengård,4-4-2,,,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,48.0,right,4786,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3092554204,5819280,2H,89,18,01:29:18.324,5544.324996,3092554205.0,,,,,,corner,[],100.0,100.0,6786,Rosengård,4-4-2,6729,Åtvidaberg,5-3-2,628861,L. Carlius,SS,True,-142.0,low,29.0,904575.0,M. Ritari,LCMF,78.0,74.0,3092554204.0,4.808255,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,100.0,88.0,0.0,6786.0,Rosengård,4-4-2,,,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,78.0,74.0,right,5358,False,False,False,edge_recycle_zone,False,False,0,0,0,0,0.0,0.0,,
3092554226,5819280,2H,91,40,01:31:40.526,5686.52605,3092554631.0,,,,,,corner,[],100.0,100.0,6786,Rosengård,4-4-2,6729,Åtvidaberg,5-3-2,628861,L. Carlius,SS,False,-107.0,high,28.0,51534.0,H. Radetinac,LW,92.0,61.0,3092554226.0,0.5904145,"['corner', 'set_piece_attack']",1.0,0.0,100.0,100.0,92.0,61.0,6786.0,Rosengård,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,92.0,61.0,right,5500,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3080292727,5819261,1H,37,35,00:37:35.099,2256.099233,3080292729.0,,,,,,corner,[],100.0,0.0,6786,Rosengård,4-4-2,6715,Trelleborg,4-1-4-1,628861,L. Carlius,SS,True,99.0,high,32.0,601024.0,G. Backaliden,LCB,95.0,47.0,3080292727.0,1.845628,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,0.0,95.0,47.0,6786.0,Rosengård,4-4-2,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,95.0,47.0,left,2255,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3080293297,5819261,2H,76,37,01:16:37.278,4853.278925,3080293782.0,,,,,,corner,[],100.0,0.0,6786,Rosengård,4-4-2,6715,Trelleborg,4-1-4-1,629475,J. Voelkerling Persson,CF,False,96.0,high,38.0,347475.0,M. Påhlsson,GK,96.0,55.0,3080293297.0,1.356014,"['corner', 'set_piece_attack']",4.0,0.0,100.0,0.0,92.0,53.0,6786.0,Rosengård,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,96.0,55.0,left,4597,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3080293597,5819261,2H,95,32,01:35:32.150,5988.150505,3080293599.0,,,,,,corner,['shot_assist'],100.0,100.0,6786,Rosengård,4-4-2,6715,Trelleborg,4-1-4-1,333740,A. Malaj,LCMF,True,-96.0,high,46.0,705564.0,E. Igbonekwu,RW,95.0,33.0,3080293597.0,1.999722,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,88.0,58.0,6786.0,Rosengård,4-4-2,,,True,False,False,center,0.0523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,33.0,right,5732,True,False,False,front_post,True,False,1,0,0,0,0.0523,0.0523,K. Larsson,517687.0
3080293608,5819261,2H,96,4,01:36:04.214,6020.214903,3080293613.0,,,,,,corner,['shot_assist'],100.0,0.0,6786,Rosengård,4-4-2,6715,Trelleborg,4-1-4-1,904575,M. Ritari,RCMF,True,105.0,high,39.0,1320306.0,A. Dumbuya,SS,90.0,55.0,3080293608.0,0.5797295,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,0.0,90.0,55.0,6786.0,Rosengård,4-4-2,,,True,False,False,left,0.1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,90.0,55.0,left,5764,True,False,False,penalty_spot_zone,True,False,1,0,1,0,0.1313,0.1313,A. Dumbuya,1320306.0
