id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,pass,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,carry.progression,carry.endLocation.x,carry.endLocation.y,possession.attack,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,possession,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper,shot.goalkeeper.id,shot.goalkeeper.name,location,infraction.opponent,start_x,start_y,end_x,end_y,side,event_time_seconds,tag_shot_assist,tag_assist,tag_loss,delivery_zone,possession_shot,possession_goal,possession_shot_count,possession_goal_count,possession_header_shot_count,possession_header_goal_count,possession_xg,first_shot_xg,first_shooter_name,first_shooter_id
3183070990,5819327,1H,8,26,00:08:26.550,507.550605,3183070991.0,,,,,,corner,[],100.0,0.0,6925,Laholms FK,4-4-2,6849,Jönköpings Södra,4-2-3-1,1315751,S. Svensson,RW,True,94.0,high,29.0,939467.0,M. Andersson,SS,98.0,43.0,3183070990.0,7.8610195,"['corner', 'set_piece_attack', 'attack']",6.0,0.0,100.0,0.0,90.0,60.0,6925.0,Laholms FK,4-4-2,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,98.0,43.0,left,506,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3183071196,5819327,1H,25,35,00:25:35.993,1536.993887,3183070956.0,,,,,,corner,[],100.0,0.0,6925,Laholms FK,4-4-2,6849,Jönköpings Södra,4-2-3-1,1315751,S. Svensson,RW,False,98.0,high,36.0,899727.0,A. Eriksson,GK,95.0,53.0,3183071196.0,3.387158,"['corner', 'set_piece_attack']",3.0,0.0,100.0,0.0,79.0,100.0,6925.0,Laholms FK,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,95.0,53.0,left,1535,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3183072137,5819327,2H,89,8,01:29:08.051,5450.051427,3183072141.0,,,,,,corner,['loss'],100.0,0.0,6925,Laholms FK,4-4-2,6849,Jönköpings Södra,4-2-3-1,1315751,S. Svensson,RW,True,98.0,high,30.0,939469.0,O. Johansson,RCB,96.0,43.0,3183072137.0,6.3407905,"['corner', 'set_piece_attack', 'attack']",10.0,0.0,100.0,0.0,75.0,37.0,6925.0,Laholms FK,4-4-2,True,False,False,center,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,96.0,43.0,left,5348,False,False,True,six_yard_central,True,False,1,0,0,0,0.0018,0.0018,N. Hedström,1315748.0
3181122342,5819314,1H,5,36,00:05:36.752,337.752065,3181124330.0,,,,,,corner,[],100.0,100.0,7014,Olympic,4-3-3,6849,Jönköpings Södra,4-2-3-1,582329,A. Sundgren,LB,True,-107.0,low,32.0,0.0,,,90.0,51.0,3181122342.0,10.823596,"['corner', 'set_piece_attack', 'attack']",9.0,0.0,100.0,100.0,55.0,100.0,7014.0,Olympic,4-3-3,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,90.0,51.0,right,336,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3181122406,5819314,1H,9,2,00:09:02.090,543.090726,3181122474.0,,,,,,corner,[],100.0,100.0,7014,Olympic,4-3-3,6849,Jönköpings Södra,4-2-3-1,582329,A. Sundgren,LB,False,-109.0,high,48.0,1060409.0,L. Lyck,CF,85.0,33.0,3181122406.0,1.256205,"['corner', 'set_piece_attack']",1.0,0.0,100.0,100.0,85.0,33.0,7014.0,Olympic,4-3-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,85.0,33.0,right,542,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3181122660,5819314,1H,24,21,00:24:21.657,1462.657838,3181122661.0,,,,,,corner,['shot_assist'],100.0,100.0,7014,Olympic,4-3-3,6849,Jönköpings Södra,4-2-3-1,582329,A. Sundgren,LB,True,-108.0,high,49.0,338960.0,M. Moro,RWF,86.0,32.0,3181122660.0,3.369616,"['corner', 'set_piece_attack', 'attack']",5.0,0.0,100.0,100.0,73.0,36.0,7014.0,Olympic,4-3-3,True,False,False,center,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,86.0,32.0,right,1461,True,False,False,penalty_spot_zone,True,False,1,0,0,0,0.0023,0.0023,A. Robert,818635.0
3181122740,5819314,1H,30,54,00:30:54.443,1855.443565,3181122743.0,,,,,,corner,[],100.0,0.0,7014,Olympic,4-3-3,6849,Jönköpings Södra,4-2-3-1,582329,A. Sundgren,LB,True,157.0,low,25.0,821583.0,O. Khattab,LWF,78.0,14.0,3181122740.0,15.714428,"['corner', 'set_piece_attack', 'attack']",16.0,0.0,100.0,0.0,67.0,65.0,7014.0,Olympic,4-3-3,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,78.0,14.0,left,1854,False,False,False,edge_recycle_zone,False,False,0,0,0,0,0.0,0.0,,
3181122758,5819314,1H,32,30,00:32:30.892,1951.892166,3181122760.0,,,,,,corner,[],100.0,0.0,7014,Olympic,4-3-3,6849,Jönköpings Södra,4-2-3-1,582329,A. Sundgren,LB,True,98.0,high,28.0,1182760.0,L. Bjorninger,CF,96.0,40.0,3181122758.0,10.8965795,"['corner', 'set_piece_attack', 'attack']",9.0,0.0,100.0,0.0,92.0,31.0,7014.0,Olympic,4-3-3,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,96.0,40.0,left,1950,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3181123190,5819314,2H,55,49,00:55:49.762,3536.762864,3181123194.0,,,,,,corner,['shot_assist'],100.0,100.0,7014,Olympic,4-3-3,6849,Jönköpings Södra,4-2-3-1,582329,A. Sundgren,LB,True,-107.0,high,28.0,226323.0,E. Andersson,RCB,92.0,61.0,3181123190.0,1.158874,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,92.0,62.0,7014.0,Olympic,4-3-3,True,False,False,right,0.0559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,92.0,61.0,right,3349,True,False,False,penalty_spot_zone,True,False,1,0,1,0,0.0559,0.0559,E. Andersson,226323.0
3181123696,5819314,2H,82,48,01:22:48.317,5155.317842,3181123698.0,,,,,,corner,[],100.0,100.0,7014,Olympic,4-3-3,6849,Jönköpings Södra,4-2-3-1,582329,A. Sundgren,LB,True,-117.0,low,26.0,818635.0,A. Robert,LCMF3,89.0,65.0,3181123696.0,2.073927,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,100.0,91.0,53.0,7014.0,Olympic,4-3-3,True,True,False,right,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,89.0,65.0,right,4968,False,False,False,penalty_spot_zone,True,False,1,0,0,0,0.242,0.242,F. Dovi,1183492.0
