id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,pass,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,carry.progression,carry.endLocation.x,carry.endLocation.y,possession.attack,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,possession,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper,shot.goalkeeper.id,shot.goalkeeper.name,location,infraction.opponent,start_x,start_y,end_x,end_y,side,event_time_seconds,tag_shot_assist,tag_assist,tag_loss,delivery_zone,possession_shot,possession_goal,possession_shot_count,possession_goal_count,possession_header_shot_count,possession_header_goal_count,possession_xg,first_shot_xg,first_shooter_name,first_shooter_id
3183070683,5819327,1H,1,14,00:01:14.721,75.721121,3183070684.0,,,,,,corner,[],100.0,100.0,6849,Jönköpings Södra,4-2-3-1,6925,Laholms FK,4-4-2,51830,D. Kozica,AMF,True,-107.0,high,31.0,812471.0,A. Eriksson,RB,91.0,56.0,3183070683.0,10.244265,"['corner', 'set_piece_attack', 'attack']",8.0,0.0,100.0,100.0,62.0,81.0,6849.0,Jönköpings Södra,4-2-3-1,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,91.0,56.0,right,74,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3183071359,5819327,2H,47,42,00:47:42.758,2964.75827,3183071363.0,,,,,,corner,['shot_assist'],100.0,0.0,6849,Jönköpings Södra,4-2-3-1,6925,Laholms FK,4-4-2,51830,D. Kozica,AMF,True,99.0,high,33.0,812471.0,A. Eriksson,RB,95.0,48.0,3183071359.0,0.853382,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,0.0,93.0,47.0,6849.0,Jönköpings Södra,4-2-3-1,True,False,False,left,0.1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,95.0,48.0,left,2862,True,False,False,six_yard_central,True,False,1,0,1,0,0.1498,0.1498,A. Eriksson,812471.0
3183071395,5819327,2H,49,41,00:49:41.647,3083.647793,3183071398.0,,,,,,corner,['shot_assist'],100.0,0.0,6849,Jönköpings Södra,4-2-3-1,6925,Laholms FK,4-4-2,51830,D. Kozica,AMF,True,104.0,high,37.0,674204.0,F. Benatallah,LAMF,91.0,52.0,3183071395.0,0.855972,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,0.0,91.0,52.0,6849.0,Jönköpings Södra,4-2-3-1,True,False,False,left,0.1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,91.0,52.0,left,2981,True,False,False,penalty_spot_zone,True,False,1,0,1,0,0.1063,0.1063,F. Benatallah,674204.0
3181122491,5819314,1H,10,18,00:10:18.504,619.504885,3181122498.0,,,,,,corner,['shot_assist'],100.0,0.0,6849,Jönköpings Södra,4-2-3-1,7014,Olympic,4-3-3,51830,D. Kozica,AMF,True,100.0,high,46.0,51679.0,J. Drott,LDMF,92.0,66.0,3181122491.0,2.2786315,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,0.0,93.0,59.0,6849.0,Jönköpings Södra,4-2-3-1,True,False,False,center,0.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,92.0,66.0,left,618,True,False,False,back_post,True,False,1,0,1,0,0.0365,0.0365,J. Drott,51679.0
3181123081,5819314,2H,47,28,00:47:28.642,3035.642623,3181123083.0,,,,,,corner,[],100.0,100.0,6849,Jönköpings Södra,4-2-3-1,7014,Olympic,4-3-3,51830,D. Kozica,AMF,True,-114.0,high,66.0,1060409.0,L. Lyck,CF,74.0,12.0,3181123081.0,7.567037,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,100.0,89.0,36.0,6849.0,Jönköpings Södra,4-2-3-1,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,74.0,12.0,right,2848,False,False,False,edge_recycle_zone,False,False,0,0,0,0,0.0,0.0,,
3181123341,5819314,2H,64,30,01:04:30.836,4057.836532,3181123384.0,,,,,,corner,['loss'],100.0,0.0,6849,Jönköpings Södra,4-2-3-1,7014,Olympic,4-3-3,51830,D. Kozica,AMF,False,108.0,high,40.0,338960.0,M. Moro,RCMF3,89.0,56.0,3181123341.0,16.9313465,"['corner', 'set_piece_attack', 'attack']",8.0,0.0,100.0,0.0,75.0,80.0,6849.0,Jönköpings Södra,4-2-3-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,89.0,56.0,left,3870,False,False,True,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3181123649,5819314,2H,86,56,01:26:56.187,5403.187019,3181123740.0,,,,,,corner,['loss'],100.0,100.0,6849,Jönköpings Södra,4-2-3-1,7014,Olympic,4-3-3,51830,D. Kozica,AMF,False,-107.0,high,21.0,818635.0,A. Robert,RWF,94.0,71.0,3181123649.0,1.443163,"['corner', 'set_piece_attack']",1.0,0.0,100.0,100.0,94.0,71.0,6849.0,Jönköpings Södra,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,94.0,71.0,right,5216,False,False,True,back_post,False,False,0,0,0,0,0.0,0.0,,
3097199137,5819279,1H,7,46,00:07:46.378,467.378936,3097198952.0,,,,,,corner,[],100.0,100.0,6849,Jönköpings Södra,4-2-3-1,71745,Ariana,4-2-3-1,51830,D. Kozica,LDMF,False,-96.0,high,30.0,286082.0,A. Reinholdsson,CF,97.0,56.0,3097199137.0,5.224048,"['corner', 'set_piece_attack', 'attack']",6.0,0.0,100.0,100.0,92.0,100.0,6849.0,Jönköpings Södra,4-2-3-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,97.0,56.0,right,466,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3097199335,5819279,1H,27,35,00:27:35.804,1656.804472,3097199200.0,,,,,,corner,[],100.0,0.0,6849,Jönköpings Södra,4-2-3-1,71745,Ariana,4-2-3-1,51830,D. Kozica,LDMF,False,95.0,high,35.0,739360.0,A. Bjurnemark,LCB,97.0,51.0,3097199335.0,0.927096,"['corner', 'set_piece_attack']",1.0,0.0,100.0,0.0,97.0,51.0,6849.0,Jönköpings Södra,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,97.0,51.0,left,1655,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3097199527,5819279,1H,42,9,00:42:09.900,2530.900747,3097199528.0,,,,,,corner,['shot_assist'],100.0,100.0,6849,Jönköpings Södra,4-2-3-1,71745,Ariana,4-2-3-1,51830,D. Kozica,LDMF,True,-122.0,low,30.0,789558.0,J. Shamoun,RAMF,85.0,62.0,3097199527.0,1.023939,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,100.0,85.0,62.0,6849.0,Jönköpings Södra,4-2-3-1,True,False,False,right,0.0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,85.0,62.0,right,2529,True,False,False,penalty_spot_zone,True,False,1,0,0,0,0.0147,0.0147,J. Shamoun,789558.0
