team_name,player_name,pickup_x,pickup_y,pickup_delay,travel_distance,pickup_in_attacking_half
Jönköpings Södra,S. Crona,39.0,19.0,3.0,0.0,False
Jönköpings Södra,J. Shamoun,53.0,73.0,1.0,0.0,True
Jönköpings Södra,A. Eriksson,47.0,43.0,2.0,0.0,False
Jönköpings Södra,A. Kiwarkis,89.0,58.0,2.0,0.0,True
Jönköpings Södra,J. Drott,89.0,39.0,1.0,0.0,True
Jönköpings Södra,A. Kiwarkis,88.0,63.0,2.0,0.0,True
Jönköpings Södra,L. Eek,73.0,15.0,1.0,0.0,True
Jönköpings Södra,A. Eriksson,95.0,47.0,2.0,0.0,True
Jönköpings Södra,A. Kiwarkis,88.0,55.0,1.0,0.0,True
Jönköpings Södra,K. Grauberg Lepik,62.0,30.0,4.0,8.0,True
Jönköpings Södra,O. Almström,95.0,51.0,1.0,0.0,True
Jönköpings Södra,H. Lyck,76.0,92.0,2.0,0.0,True
Jönköpings Södra,A. Eriksson,40.0,37.0,2.0,0.0,False
Jönköpings Södra,J. Shamoun,98.0,63.0,5.0,0.0,True
Jönköpings Södra,J. Shamoun,93.0,55.0,1.0,0.0,True
Jönköpings Södra,A. Kiwarkis,96.0,47.0,5.0,42.5440947723653,True
Jönköpings Södra,S. Crona,78.0,23.0,2.0,0.0,True
Jönköpings Södra,L. Eek,94.0,47.0,8.0,0.0,True
Jönköpings Södra,L. Lyck,78.0,67.0,2.0,0.0,True
Jönköpings Södra,A. Eriksson,88.0,66.0,1.0,4.0,True
Jönköpings Södra,J. Shamoun,47.0,81.0,2.0,0.0,False
Jönköpings Södra,A. Kiwarkis,53.0,72.0,3.0,0.0,True
Jönköpings Södra,D. Kozica,80.0,81.0,0.0,8.246211251235321,True
Jönköpings Södra,A. Eriksson,87.0,51.0,1.0,0.0,True
Jönköpings Södra,A. Eriksson,33.0,82.0,5.0,12.649110640673518,False
Jönköpings Södra,J. Shamoun,89.0,36.0,2.0,0.0,True
Jönköpings Södra,C. Hellström,33.0,6.0,6.0,8.54400374531753,False
Jönköpings Södra,A. Bark,92.0,82.0,1.0,19.697715603592208,True
Jönköpings Södra,A. Eriksson,51.0,64.0,7.0,24.020824298928627,True
Jönköpings Södra,D. Kozica,79.0,76.0,1.0,0.0,True
Jönköpings Södra,F. Benatallah,92.0,73.0,6.0,34.0147027033899,True
Jönköpings Södra,O. Almström,21.0,6.0,1.0,0.0,False
Jönköpings Södra,A. Kiwarkis,77.0,82.0,1.0,0.0,True
Jönköpings Södra,S. Crona,80.0,15.0,2.0,0.0,True
Jönköpings Södra,A. Kiwarkis,68.0,21.0,1.0,0.0,True
Jönköpings Södra,C. Farnerud,59.0,89.0,1.0,0.0,True
Jönköpings Södra,L. Eek,87.0,34.0,3.0,0.0,True
Jönköpings Södra,A. Karlsson,42.0,71.0,2.0,0.0,False
Jönköpings Södra,H. Lyck,41.0,81.0,3.0,0.0,False
Jönköpings Södra,D. Kozica,79.0,65.0,8.0,28.635642126552707,True
Jönköpings Södra,A. Karlsson,78.0,89.0,1.0,0.0,True
Jönköpings Södra,L. Eek,24.0,37.0,3.0,0.0,False
Jönköpings Södra,A. Kiwarkis,56.0,13.0,2.0,0.0,True
Jönköpings Södra,D. Kozica,90.0,35.0,5.0,0.0,True
Jönköpings Södra,D. Kozica,56.0,60.0,5.0,22.360679774997898,True
Jönköpings Södra,A. Kiwarkis,72.0,20.0,1.0,0.0,True
Jönköpings Södra,D. Kozica,33.0,39.0,2.0,0.0,False
Jönköpings Södra,A. Eriksson,70.0,88.0,2.0,0.0,True
Jönköpings Södra,A. Eriksson,92.0,32.0,2.0,0.0,True
Jönköpings Södra,D. Kozica,54.0,22.0,2.0,0.0,True
Jönköpings Södra,A. Kiwarkis,96.0,16.0,1.0,84.09518416651456,True
Jönköpings Södra,L. Eek,96.0,51.0,2.0,0.0,True
Jönköpings Södra,A. Eriksson,11.0,61.0,2.0,0.0,False
Jönköpings Södra,S. Crona,26.0,20.0,6.0,42.2965719651132,False
Jönköpings Södra,K. Galabri,86.0,37.0,3.0,0.0,True
Jönköpings Södra,J. Shamoun,99.0,72.0,1.0,3.605551275463989,True
Jönköpings Södra,D. Kozica,60.0,88.0,2.0,19.209372712298546,True
Jönköpings Södra,J. Drott,81.0,25.0,2.0,0.0,True
Jönköpings Södra,S. Crona,58.0,7.0,4.0,0.0,True
Jönköpings Södra,L. Lyck,89.0,35.0,1.0,0.0,True
Jönköpings Södra,J. Shamoun,75.0,19.0,5.0,0.0,True
Jönköpings Södra,H. Lyck,73.0,57.0,2.0,0.0,True
Jönköpings Södra,A. Kiwarkis,86.0,27.0,2.0,0.0,True
Jönköpings Södra,J. Drott,68.0,31.0,2.0,0.0,True
Jönköpings Södra,F. Benatallah,57.0,5.0,5.0,15.0,True
Jönköpings Södra,H. Lyck,61.0,95.0,2.0,0.0,True
Jönköpings Södra,S. Crona,81.0,31.0,1.0,0.0,True
Jönköpings Södra,O. Almström,92.0,16.0,2.0,84.38009243891595,True
