team_name,player_name,drops,attacking_half,average_pickup_delay,most_common_zone,risk_label
Jönköpings Södra,A. Kiwarkis,21,20,2.14,left attacking third,High risk
Jönköpings Södra,A. Eriksson,21,13,3.1,central attacking third,High risk
Jönköpings Södra,D. Kozica,19,15,2.47,central attacking third,High risk
Jönköpings Södra,J. Shamoun,15,14,2.33,central attacking third,High risk
Jönköpings Södra,A. Bark,12,11,3.5,right attacking third,High risk
Jönköpings Södra,J. Drott,8,7,1.88,left attacking third,High risk
Jönköpings Södra,L. Eek,8,6,3.25,central attacking third,High risk
Jönköpings Södra,H. Lyck,7,3,3.57,right midfield,High risk
Jönköpings Södra,A. Karlsson,6,5,3.0,right attacking third,High risk
Jönköpings Södra,O. Almström,6,4,3.5,central attacking third,High risk
Rosengård,E. Onotu,20,16,2.0,left attacking third,High risk
Rosengård,M. Andersson,19,16,2.26,central attacking third,High risk
Rosengård,J. Lynard,18,12,3.22,right attacking third,High risk
Rosengård,M. Ritari,14,9,2.86,central attacking third,High risk
Rosengård,R. Bonde,14,8,2.21,left midfield,High risk
Rosengård,K. Larsson,14,8,2.79,right attacking third,High risk
Rosengård,J. Voelkerling Persson,13,12,1.69,central attacking third,High risk
Rosengård,A. Malaj,13,10,3.38,left attacking third,High risk
Rosengård,O. Hakansson,13,7,2.23,right attacking third,High risk
Rosengård,B. Llana,10,5,2.0,left attacking third,High risk
