team_name,zone,drops,average_pickup_delay
Jönköpings Södra,central attacking third,33,2.85
Jönköpings Södra,left attacking third,30,2.17
Jönköpings Södra,right attacking third,25,2.8
Jönköpings Södra,right midfield,22,2.05
Jönköpings Södra,left midfield,15,4.13
Jönköpings Södra,central midfield,7,2.71
Jönköpings Södra,central defensive third,6,3.33
Jönköpings Södra,right defensive third,5,1.8
Jönköpings Södra,left defensive third,3,4.33
Rosengård,central attacking third,50,3.12
Rosengård,right attacking third,36,2.69
Rosengård,left attacking third,26,3.08
Rosengård,right midfield,16,2.88
Rosengård,central midfield,15,3.2
Rosengård,left midfield,13,2.85
Rosengård,central defensive third,11,2.09
Rosengård,left defensive third,9,0.89
Rosengård,right defensive third,6,3.17
