id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack,pass,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,possession,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,carry.progression,carry.endLocation.x,carry.endLocation.y,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper.id,shot.goalkeeper.name,shot.goalkeeper,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,infraction.opponent,location,aerialDuel.opponent,groundDuel.opponent,start_x,start_y,end_x,end_y,side,event_time_seconds,tag_shot_assist,tag_assist,tag_loss,delivery_zone,possession_shot,possession_goal,possession_shot_count,possession_goal_count,possession_header_shot_count,possession_header_goal_count,possession_xg,first_shot_xg,first_shooter_name,first_shooter_id
3201310987,5819342,1H,2,36,00:02:36.766,157.766997,3201310989.0,,,,,,corner,['shot_assist'],100.0,0.0,6742,Ängelholm,4-2-3-1,6729,Åtvidaberg,4-1-3-2,347524,O. Stojanović Fredin,AMF,True,94.0,high,32.0,660136.0,M. Ahmadi,RCB,98.0,47.0,3201310987.0,3.9012805,"['corner', 'set_piece_attack', 'attack']",7.0,0.0,100.0,0.0,90.0,53.0,6742.0,Ängelholm,4-2-3-1,,,True,False,False,center,0.0631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,98.0,47.0,left,156,True,False,False,six_yard_central,True,False,1,0,0,0,0.0631,0.0631,B. Tannus,472365.0
3201312029,5819342,2H,52,30,00:52:30.472,3276.472363,3201312035.0,,,,,,corner,['shot_assist'],100.0,100.0,6742,Ängelholm,4-2-3-1,6729,Åtvidaberg,4-1-3-2,347524,O. Stojanović Fredin,AMF,True,-95.0,high,33.0,660136.0,M. Ahmadi,RCB,97.0,51.0,3201312029.0,2.337415,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,96.0,53.0,6742.0,Ängelholm,4-2-3-1,,,True,False,False,right,0.3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,97.0,51.0,right,3150,True,False,False,six_yard_central,True,False,1,0,1,0,0.3005,0.3005,M. Ahmadi,660136.0
3201312197,5819342,2H,65,16,01:05:16.950,4042.950759,3201312114.0,,,,,,corner,[],100.0,100.0,6742,Ängelholm,4-2-3-1,6729,Åtvidaberg,4-1-3-2,347524,O. Stojanović Fredin,AMF,False,-95.0,high,34.0,578861.0,H. Claesson,GK,97.0,50.0,3201312197.0,5.6221025,"['corner', 'set_piece_attack', 'attack']",7.0,0.0,100.0,100.0,82.0,48.0,6742.0,Ängelholm,4-2-3-1,,,True,False,False,right,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,97.0,50.0,right,3916,False,False,False,six_yard_central,True,False,1,0,0,0,0.014,0.014,J. Svensson,1080063.0
3201312309,5819342,2H,73,44,01:13:44.123,4550.123909,3201312310.0,,,,,,corner,['shot_assist'],100.0,100.0,6742,Ängelholm,4-2-3-1,6729,Åtvidaberg,4-1-3-2,347524,O. Stojanović Fredin,AMF,True,-96.0,high,29.0,615572.0,E. Vedholm,LCB,97.0,57.0,3201312309.0,2.5126155,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,87.0,37.0,6742.0,Ängelholm,4-2-3-1,,,True,False,False,right,0.0328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,97.0,57.0,right,4424,True,False,False,six_yard_central,True,False,1,0,0,0,0.0328,0.0328,V. Carlsson,807512.0
3201312555,5819342,2H,89,9,01:29:09.723,5475.723613,3201312500.0,,,,,,corner,[],100.0,0.0,6742,Ängelholm,4-2-3-1,6729,Åtvidaberg,4-1-3-2,901774,D. Alfonsi,LDMF,False,100.0,high,41.0,602077.0,T. Östlund,RCB,93.0,59.0,3201312555.0,36.9001445,"['corner', 'set_piece_attack', 'attack']",16.0,0.0,100.0,0.0,93.0,0.0,6742.0,Ängelholm,4-2-3-1,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,93.0,59.0,left,5349,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3201312609,5819342,2H,92,51,01:32:51.880,5697.880388,3201312610.0,,,,,,corner,[],100.0,0.0,6742,Ängelholm,4-2-3-1,6729,Åtvidaberg,4-1-3-2,901774,D. Alfonsi,LDMF,True,102.0,high,39.0,615572.0,E. Vedholm,LCB,92.0,56.0,3201312609.0,2.958031,"['corner', 'set_piece_attack', 'attack']",5.0,0.0,100.0,0.0,84.0,66.0,6742.0,Ängelholm,4-2-3-1,,,True,False,False,left,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,92.0,56.0,left,5571,False,False,False,penalty_spot_zone,True,False,1,0,0,0,0.011,0.011,V. Carlsson,807512.0
3201312612,5819342,2H,93,26,01:33:26.134,5732.134464,3201312613.0,,,,,,corner,[],100.0,100.0,6742,Ängelholm,4-2-3-1,6729,Åtvidaberg,4-1-3-2,901774,D. Alfonsi,LDMF,True,-112.0,high,31.0,660136.0,M. Ahmadi,RCB,89.0,57.0,3201312612.0,9.223145,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,92.0,53.0,6742.0,Ängelholm,4-2-3-1,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,89.0,57.0,right,5606,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3164145354,5819307,1H,8,23,00:08:23.300,504.300097,3164145355.0,,,,,,corner,[],100.0,0.0,6742,Ängelholm,4-4-2,6751,Kristianstad,4-4-2,347524,O. Stojanović Fredin,RW,True,96.0,high,36.0,1226362.0,A. Touray,SS,96.0,53.0,3164145354.0,7.0819385,"['corner', 'set_piece_attack', 'attack']",12.0,0.0,100.0,0.0,97.0,56.0,6742.0,Ängelholm,4-4-2,,,True,False,False,center,0.3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,96.0,53.0,left,503,False,False,False,six_yard_central,True,False,1,0,1,0,0.3167,0.3167,A. Touray,1226362.0
3164145454,5819307,1H,15,49,00:15:49.684,950.684822,3164145455.0,,,,,,corner,['shot_assist'],100.0,0.0,6742,Ängelholm,4-4-2,6751,Kristianstad,4-4-2,347524,O. Stojanović Fredin,RW,True,96.0,high,27.0,807512.0,V. Carlsson,CF,97.0,40.0,3164145454.0,0.58547,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,0.0,97.0,40.0,6742.0,Ängelholm,4-4-2,,,True,False,False,left,0.2121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,97.0,40.0,left,949,True,False,False,six_yard_central,True,False,1,0,1,0,0.2121,0.2121,V. Carlsson,807512.0
3164146854,5819307,2H,84,42,01:24:42.698,5172.698556,3164146978.0,,,,,,corner,[],100.0,100.0,6742,Ängelholm,4-4-2,6751,Kristianstad,4-4-2,347524,O. Stojanović Fredin,CF,False,-108.0,high,43.0,432470.0,O. Dampha,SS,88.0,39.0,3164146854.0,13.6152875,"['corner', 'set_piece_attack', 'attack']",5.0,0.0,100.0,100.0,81.0,55.0,6742.0,Ängelholm,4-4-2,,,True,False,False,center,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,88.0,39.0,right,5082,False,False,False,penalty_spot_zone,True,False,1,0,0,0,0.0106,0.0106,M. Ahmadi,660136.0
3164147039,5819307,2H,93,54,01:33:54.724,5724.724352,3164147080.0,,,,,,corner,[],100.0,100.0,6742,Ängelholm,4-4-2,6751,Kristianstad,4-4-2,347524,O. Stojanović Fredin,CF,False,-99.0,high,34.0,613093.0,O. Larsson Wågert,GK,95.0,51.0,3164147039.0,13.850193,"['corner', 'set_piece_attack', 'attack']",8.0,0.0,100.0,100.0,94.0,25.0,6742.0,Ängelholm,4-4-2,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,51.0,right,5634,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3093273458,5819278,1H,9,42,00:09:42.985,583.98517,3093273468.0,,,,,,corner,['shot_assist'],100.0,100.0,6742,Ängelholm,4-4-2,6777,Trollhättan,4-4-2,347524,O. Stojanović Fredin,RW,True,-107.0,high,31.0,807512.0,V. Carlsson,SS,91.0,56.0,3093273458.0,1.2160185,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,91.0,54.0,6742.0,Ängelholm,4-4-2,,,True,False,False,right,0.0886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,91.0,56.0,right,582,True,False,False,penalty_spot_zone,True,False,1,0,1,0,0.0886,0.0886,V. Carlsson,807512.0
3093274541,5819278,2H,64,20,01:04:20.426,4072.426181,3093274096.0,,,,,,corner,[],100.0,0.0,6742,Ängelholm,4-4-2,6777,Trollhättan,4-4-2,347524,O. Stojanović Fredin,RW,False,99.0,high,40.0,1180742.0,E. Olof Fasth,RCB,94.0,58.0,3093274541.0,8.847832,"['corner', 'set_piece_attack', 'attack']",6.0,0.0,100.0,0.0,81.0,38.0,6742.0,Ängelholm,4-4-2,,,True,False,False,left,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,94.0,58.0,left,3860,False,False,False,six_yard_central,True,False,1,0,0,0,0.0025,0.0025,V. Carlsson,807512.0
3078453068,5819262,1H,7,30,00:07:30.079,451.07938,3078454955.0,,,,,,corner,['shot_assist'],100.0,0.0,6742,Ängelholm,4-4-2,7018,Tvååker,4-4-2,347524,O. Stojanović Fredin,LW,True,98.0,high,34.0,0.0,,,95.0,50.0,3078453068.0,2.5616205,"['corner', 'set_piece_attack', 'attack']",6.0,0.0,100.0,0.0,96.0,49.0,6742.0,Ängelholm,4-4-2,,,True,False,False,center,0.4049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,95.0,50.0,left,450,True,False,False,six_yard_central,True,False,1,0,1,0,0.4049,0.4049,A. Touray,1226362.0
3078453351,5819262,1H,28,58,00:28:58.834,1739.83427,3078453356.0,,,,,,corner,['shot_assist'],100.0,0.0,6742,Ängelholm,4-4-2,7018,Tvååker,4-4-2,347524,O. Stojanović Fredin,LW,True,96.0,high,31.0,660136.0,M. Ahmadi,RCB,97.0,46.0,3078453351.0,1.324891,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,0.0,96.0,47.0,6742.0,Ängelholm,4-4-2,,,True,False,False,left,0.2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,97.0,46.0,left,1738,True,False,False,six_yard_central,True,False,1,0,1,0,0.2804,0.2804,M. Ahmadi,660136.0
3078453734,5819262,2H,53,19,00:53:19.320,3229.320872,3078453923.0,,,,,,corner,[],100.0,100.0,6742,Ängelholm,4-4-2,7018,Tvååker,4-4-2,347524,O. Stojanović Fredin,LW,False,-98.0,high,38.0,939464.0,E. Capocci Nielsen,GK,95.0,45.0,3078453734.0,5.188911,"['corner', 'set_piece_attack', 'attack']",5.0,0.0,100.0,100.0,81.0,47.0,6742.0,Ängelholm,4-4-2,,,True,False,False,right,0.0076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,45.0,right,3199,False,False,False,six_yard_central,True,False,1,0,0,0,0.0076,0.0076,E. Vedholm,615572.0
3078453807,5819262,2H,61,14,01:01:14.301,3704.301715,3078453809.0,,,,,,corner,[],100.0,100.0,6742,Ängelholm,4-4-2,7018,Tvååker,4-4-2,347524,O. Stojanović Fredin,LW,False,-90.0,high,28.0,0.0,,,100.0,59.0,3078453807.0,4.557953,"['corner', 'set_piece_attack']",2.0,0.0,100.0,100.0,100.0,59.0,6742.0,Ängelholm,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,59.0,right,3674,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3078453879,5819262,2H,64,50,01:04:50.279,3920.279839,3078453884.0,,,,,,corner,['shot_assist'],100.0,0.0,6742,Ängelholm,4-4-2,7018,Tvååker,4-4-2,347524,O. Stojanović Fredin,LW,True,101.0,high,33.0,660136.0,M. Ahmadi,RCB,94.0,47.0,3078453879.0,0.8237485,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,0.0,94.0,47.0,6742.0,Ängelholm,4-4-2,,,True,True,False,left,0.1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,94.0,47.0,left,3890,True,False,False,six_yard_central,True,False,1,0,1,0,0.1923,0.1923,M. Ahmadi,660136.0
