team_name,player_name,drops,attacking_half,average_pickup_delay,most_common_zone,risk_label
Jönköpings Södra,A. Eriksson,30,18,2.9,central attacking third,High risk
Jönköpings Södra,D. Kozica,23,18,2.57,central attacking third,High risk
Jönköpings Södra,A. Kiwarkis,21,20,2.14,left attacking third,High risk
Jönköpings Södra,J. Shamoun,16,15,2.25,central attacking third,High risk
Jönköpings Södra,J. Drott,16,13,2.44,left attacking third,High risk
Jönköpings Södra,A. Bark,14,13,3.57,right attacking third,High risk
Jönköpings Södra,L. Eek,12,9,3.58,central attacking third,High risk
Jönköpings Södra,H. Lyck,11,7,4.0,right midfield,High risk
Jönköpings Södra,A. Karlsson,10,8,3.9,right attacking third,High risk
Jönköpings Södra,O. Almström,9,6,3.44,central attacking third,High risk
Ängelholm,O. Stojanović Fredin,30,21,3.3,central attacking third,High risk
Ängelholm,M. Ahmadi,30,17,4.73,right midfield,High risk
Ängelholm,V. Carlsson,29,27,2.45,central attacking third,High risk
Ängelholm,D. Bergman,27,22,2.63,central attacking third,High risk
Ängelholm,A. Nilsson,23,21,2.22,central attacking third,High risk
Ängelholm,E. Vedholm,23,13,1.83,left midfield,High risk
Ängelholm,B. Tannus,22,15,3.09,left attacking third,High risk
Ängelholm,M. Tågsjö,21,15,2.43,central attacking third,High risk
Ängelholm,R. Streifert,10,8,4.6,left midfield,High risk
Ängelholm,J. Svensson,9,5,3.67,right attacking third,High risk
