team_name,zone,drops,average_pickup_delay
Jönköpings Södra,central attacking third,44,2.77
Jönköpings Södra,right attacking third,35,3.09
Jönköpings Södra,left attacking third,34,2.24
Jönköpings Södra,right midfield,31,2.1
Jönköpings Södra,left midfield,21,4.05
Jönköpings Södra,central midfield,11,3.36
Jönköpings Södra,left defensive third,8,4.62
Jönköpings Södra,central defensive third,7,3.43
Jönköpings Södra,right defensive third,5,1.8
Ängelholm,central attacking third,63,2.7
Ängelholm,left attacking third,42,2.52
Ängelholm,right attacking third,42,3.36
Ängelholm,right midfield,31,3.16
Ängelholm,left midfield,26,2.62
Ängelholm,central midfield,23,2.65
Ängelholm,left defensive third,12,3.08
Ängelholm,right defensive third,12,4.0
Ängelholm,central defensive third,9,2.78
